date,close
2026-05-20,246.96
2026-05-20,139.23
2026-05-20,103.19
2026-05-20,86.82
2026-05-20,77.44
2026-05-20,64.99
2026-05-20,47.61
2026-05-20,246.96
2026-05-20,139.23
2026-05-20,103.19
2026-05-20,86.82
2026-05-20,77.44
2026-05-20,64.99
2026-05-20,47.61
2026-05-20,246.96
2026-05-20,139.23
2026-05-20,103.19
2026-05-20,86.82
2026-05-20,77.44
2026-05-20,64.99
2026-05-20,47.61
2026-05-20,246.96
2026-05-20,139.23
2026-05-20,103.19
2026-05-20,86.82
2026-05-20,77.44
2026-05-20,64.99
2026-05-20,47.61
2026-05-20,246.96
2026-05-20,139.23
2026-05-20,103.19
2026-05-20,86.82
2026-05-20,77.44
2026-05-20,64.99
2026-05-20,47.61
