date,close
2026-05-26,6.0
2026-05-26,3.0
2026-05-26,3.0
2026-05-26,26.0
2026-05-26,14.0
2026-05-26,12.0
2026-05-26,232.0
2026-05-26,128.0
2026-05-26,104.0
2026-05-26,6.0
2026-05-26,3.0
2026-05-26,3.0
2026-05-26,26.0
2026-05-26,14.0
2026-05-26,12.0
2026-05-26,232.0
2026-05-26,128.0
2026-05-26,104.0
2026-05-26,6.0
2026-05-26,3.0
2026-05-26,3.0
2026-05-26,26.0
2026-05-26,14.0
2026-05-26,12.0
2026-05-26,232.0
2026-05-26,128.0
2026-05-26,104.0
2026-05-26,6.0
2026-05-26,3.0
2026-05-26,3.0
2026-05-26,26.0
2026-05-26,14.0
2026-05-26,12.0
2026-05-26,232.0
2026-05-26,128.0
2026-05-26,104.0
2026-05-26,6.0
2026-05-26,3.0
2026-05-26,3.0
2026-05-26,26.0
2026-05-26,14.0
2026-05-26,12.0
2026-05-26,232.0
2026-05-26,128.0
2026-05-26,104.0
